City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,dumai,1.6833,101.45,30.19,66,89,1.47,ID,1702005021
332,hoek van holland,51.9775,4.1333,2.79,93,100,2.68,NL,1702005138
333,mufumbwe,-13.6833,24.8,17.1,95,83,1.65,ZM,1702005141
334,hrodna,53.6884,23.8258,-9.71,95,91,3.35,BY,1702005144
335,tidjikja,18.5564,-11.4271,20.37,16,93,5.77,MR,1702005148
336,yabelo,4.8833,38.0833,15.17,52,4,3.07,ET,1702005150
337,qamdo,31.1667,97.2333,-3.64,49,100,1.31,CN,1702005152
338,maragogi,-9.0122,-35.2225,24.7,83,99,2.9,BR,1702005155
339,torghay,49.6339,63.4981,-19.33,52,4,7.86,KZ,1702005160
340,kaduy,59.2,37.15,-20.6,100,100,1.61,RU,1702005162
341,utrik,11.2278,169.8474,27.59,76,68,9.99,MH,1702005044
342,khovd,48.0056,91.6419,-11.01,56,0,0.87,MN,1702005170
343,teknaf,20.8624,92.3058,24.81,91,85,2.51,BD,1702005172
344,fort bragg,35.139,-79.006,8.23,62,0,2.57,US,1702005092
345,hafar al-batin,28.4328,45.9708,12.32,58,0,0.0,SA,1702005176
346,deori khas,23.4,79.0167,17.4,82,0,1.98,IN,1702005180
347,aguas formosas,-17.0822,-40.9358,20.79,70,23,0.62,BR,1702005182
348,kerikeri,-35.2268,173.9474,22.73,57,0,0.45,NZ,1702005091
349,levuka,50.1834,-105.4011,0.62,96,100,6.58,CA,1702005062
350,itoman,26.1247,127.6694,24.21,53,20,5.66,JP,1702005190
351,lata,40.1629,-8.3327,12.67,91,97,2.07,PT,1702005192
352,howard springs,-12.497,131.047,33.26,67,98,1.01,AU,1702005194
353,glen innes,-29.7333,151.7333,34.94,19,4,1.43,AU,1702005196
354,dolores,-36.3132,-57.6792,11.13,86,0,3.09,AR,1702005198
355,murun-kuren,49.6342,100.1625,-16.28,59,92,6.44,MN,1702005200
356,aripuana,-9.1667,-60.6333,22.91,97,73,2.1,BR,1702005203
357,tonneins,44.3921,0.3124,12.46,95,100,4.48,FR,1702005205
358,mata-utu,-13.2816,-176.1745,28.48,78,99,6.21,WF,1702005038
359,loch garman,52.3342,-6.4575,10.5,96,60,6.26,IE,1702005209
360,brugnera,45.9044,12.5264,2.28,82,48,0.89,IT,1702005211
